Year,Region,Round,Game,Team_A_Seed,Team_A,Team_A_Score,Team_B_Seed,Team_B,Team_B_Score,Winner,Location
2006,Atlanta,1,5,6,West Virginia,64,11,Southern Illinois,46,1.0,"at Auburn Hills, MI"
2006,Atlanta,1,6,3,Iowa,63,14,Northwestern State,64,0.0,"at Auburn Hills, MI"
2006,Atlanta,1,7,7,California,52,10,NC State,58,0.0,"at Dallas, TX"
2006,Atlanta,1,8,2,Texas,60,15,Penn,52,1.0,"at Dallas, TX"
2006,Atlanta,2,1,1,Duke,74,8,George Washington,61,1.0,"at Greensboro, NC"
2006,Atlanta,2,2,12,Texas A&M,57,4,LSU,58,0.0,"at Jacksonville, FL"
2006,Atlanta,2,3,6,West Virginia,67,14,Northwestern State,54,1.0,"at Auburn Hills, MI"
2006,Atlanta,2,4,10,NC State,54,2,Texas,75,0.0,"at Dallas, TX"
2006,Atlanta,3,1,1,Duke,54,4,LSU,62,0.0,"at Atlanta, GA"
2006,Atlanta,3,2,6,West Virginia,71,2,Texas,74,0.0,"at Atlanta, GA"
2006,Atlanta,4,1,4,LSU,70,2,Texas,60,1.0,"at Atlanta, GA"
2006,Minneapolis,1,1,1,Villanova,58,16,Monmouth,45,1.0,"at Philadelphia, PA"
2006,Minneapolis,1,2,8,Arizona,94,9,Wisconsin,75,1.0,"at Philadelphia, PA"
2006,Minneapolis,1,3,5,Nevada,79,12,Montana,87,0.0,"at Salt Lake City, UT"
2006,Minneapolis,1,4,4,Boston College,88,13,Pacific,76,1.0,"at Salt Lake City, UT"
2006,Minneapolis,1,5,6,Oklahoma,74,11,Milwaukee,82,0.0,"at Jacksonville, FL"
2006,Minneapolis,1,6,3,Florida,76,14,South Alabama,50,1.0,"at Jacksonville, FL"
2006,Minneapolis,1,7,7,Georgetown,54,10,Northern Iowa,49,1.0,"at Dayton, OH"
2006,Minneapolis,1,8,2,Ohio State,70,15,Davidson,62,1.0,"at Dayton, OH"
2006,Minneapolis,2,1,1,Villanova,82,8,Arizona,78,1.0,"at Philadelphia, PA"
2006,Minneapolis,2,2,12,Montana,56,4,Boston College,69,0.0,"at Salt Lake City, UT"
2006,Minneapolis,2,3,11,Milwaukee,60,3,Florida,82,0.0,"at Jacksonville, FL"
2006,Minneapolis,2,4,7,Georgetown,70,2,Ohio State,52,1.0,"at Dayton, OH"
2006,Minneapolis,3,1,1,Villanova,60,4,Boston College,59,1.0,"at Minneapolis, MN"
2006,Minneapolis,3,2,3,Florida,57,7,Georgetown,53,1.0,"at Minneapolis, MN"
2006,Minneapolis,4,1,1,Villanova,62,3,Florida,75,0.0,"at Minneapolis, MN"
2006,Oakland,1,1,1,Memphis,94,16,Oral Roberts,78,1.0,"at Dallas, TX"
2006,Oakland,1,2,8,Arkansas,55,9,Bucknell,59,0.0,"at Dallas, TX"
2006,Oakland,1,3,5,Pitt,79,12,Kent State,64,1.0,"at Auburn Hills, MI"
2006,Oakland,1,4,4,Kansas,73,13,Bradley,77,0.0,"at Auburn Hills, MI"
2006,Oakland,1,5,6,Indiana,87,11,San Diego State,83,1.0,"at Salt Lake City, UT"
2006,Oakland,1,6,3,Gonzaga,79,14,Xavier,75,1.0,"at Salt Lake City, UT"
2006,Oakland,1,7,7,Marquette,85,10,Alabama,90,0.0,"at San Diego, CA"
2006,Oakland,1,8,2,UCLA,78,15,Belmont,44,1.0,"at San Diego, CA"
2006,Oakland,2,1,1,Memphis,72,9,Bucknell,56,1.0,"at Dallas, TX"
2006,Oakland,2,2,5,Pitt,66,13,Bradley,72,0.0,"at Auburn Hills, MI"
